ID	adj.P.Val	P.Value	t	B	logFC	miRNA_ID	SPOT_ID	SPOT_ID.1
A_25_P00014020	0.0000577	4.41E-08	6.7254	8.38506	4.9528	hsa-miR-151a-3p		
A_25_P00014832	0.0000577	4.53E-08	6.7171	8.36055	5.1046	hsa-miR-181a-5p		
A_25_P00010438	0.0000644	8.38E-08	6.5267	7.79611	4.3161	hsa-miR-130b-3p		
A_25_P00013981	0.0000644	1.01E-07	6.4688	7.62409	4.4166	hsa-miR-361-5p		
A_25_P00010836	0.0002613	5.13E-07	5.9686	6.13217	4.5704	hsa-miR-197-3p		
A_25_P00017264	0.0005841	1.37E-06	5.6645	5.22359	4.2989	hsa-miR-4485-3p		
A_25_P00010635	0.0009815	2.70E-06	5.4565	4.6033	4.0154	hsa-miR-584-5p		
A_25_P00014844	0.0019402	6.09E-06	5.2036	3.85207	3.4127	hsa-miR-142-5p		
A_25_P00010089	0.0029377	1.04E-05	5.0365	3.3583	4.6854	hsa-let-7f-5p		
A_25_P00017885	0.0029377	1.44E-05	4.9348	3.05921	4.1431	hsa-miR-6723-5p		
A_25_P00018853	0.0029377	1.59E-05	-4.9036	2.96779	-3.8596	hsa-miR-619-5p		
A_25_P00010677	0.0029377	1.59E-05	4.9034	2.96711	5.1603	hsa-miR-24-3p		
A_25_P00011981	0.0029377	2.18E-05	4.8035	2.6749	4.4091	hsa-let-7d-5p		
A_25_P00013937	0.0029377	2.23E-05	4.7967	2.65493	3.4765	hsa-miR-142-3p		
A_25_P00016636	0.0029377	2.59E-05	-4.7495	2.51721	-4.0546	hsa-miR-1273f		
A_25_P00010440	0.0029377	2.88E-05	4.7161	2.42019	4.6376	hsa-miR-130a-3p		
A_25_P00010073	0.0029377	7.79E-05	4.3985	1.50535	3.8416	hsa-let-7c-5p		
A_25_P00011999	0.0029377	7.87E-05	4.3952	1.49577	4.6351	hsa-miR-26a-5p		
A_25_P00011005	0.0029377	8.12E-05	4.3854	1.4679	4.4705	hsa-miR-103a-3p		
A_25_P00017039	0.0029377	8.41E-05	-4.3739	1.43526	-3.7148	hsa-miR-548aj-3p		
A_25_P00013127	0.0029377	9.41E-05	4.3376	1.33194	3.0145	hsa-let-7d-3p		
A_25_P00016860	0.0029377	9.65E-05	-4.3295	1.30905	-3.9137	hsa-miR-548x-3p		
A_25_P00017682	0.0029377	1.01E-04	-4.3153	1.26879	-3.9591	hsa-miR-548ae-3p		
A_25_P00017335	0.0029377	1.13E-04	-4.277	1.16015	-3.8605	hsa-miR-548ap-3p		
A_25_P00016837	0.0029377	1.22E-04	-4.2529	1.0923	-3.1509	hsa-miR-4646-3p		
A_25_P00018118	0.0029377	1.27E-04	-4.2403	1.05675	-3.5448	hsa-miR-6779-3p		
A_25_P00012376	0.0029377	1.28E-04	4.239	1.05313	3.6362	hsa-miR-151a-5p		
A_25_P00016240	0.0029377	1.29E-04	-4.2347	1.04083	-3.1497	hsa-miR-3926		
A_25_P00010540	0.0029377	1.54E-04	4.1778	0.88111	3.2537	hsa-miR-324-3p		
A_25_P00014286	0.0029377	1.55E-04	-4.1759	0.8757	-3.272	hsa-miR-548c-3p		
A_25_P00012706	0.0029377	1.89E-04	-4.1104	0.69261	-2.9257	hsa-miR-545-3p		
A_25_P00014820	0.0029377	2.18E-04	4.0637	0.56292	4.2884	hsa-miR-23a-3p		
A_25_P00010683	0.0029377	2.27E-04	4.0498	0.52419	4.0609	hsa-miR-30d-5p		
A_25_P00015137	0.0029377	2.42E-04	-4.029	0.46658	-3.6592	hsa-miR-548f-3p		
A_25_P00012239	0.0029377	2.67E-04	3.9968	0.37769	3.4047	hsa-miR-185-5p		
A_25_P00012839	0.0029377	2.70E-04	-3.9927	0.36652	-2.92	hsa-miR-548d-5p		
A_25_P00015107	0.0029377	2.74E-04	-3.9884	0.3547	-3.1291	hsa-miR-1290		
A_25_P00016448	0.0029377	2.82E-04	3.9778	0.32533	3.3148	hsa-miR-151b		
A_25_P00012064	0.0029377	3.35E-04	3.9212	0.17025	3.7366	hsa-miR-199a-3p		
A_25_P00014865	0.0029377	3.42E-04	3.9137	0.14965	3.3972	hsa-miR-494-3p		
A_25_P00013023	0.0029377	3.94E-04	-3.8663	0.02039	-2.998	hsa-miR-760		
A_25_P00012002	0.0029377	4.01E-04	3.8611	0.00622	3.1571	hsa-miR-26b-5p		
A_25_P00015433	0.0029377	4.99E-04	-3.7874	-0.19326	-2.9776	hsa-miR-449c-3p		
A_25_P00010434	0.0029377	5.17E-04	3.7753	-0.2257	3.564	hsa-miR-106b-5p		
A_25_P00016136	0.0029377	5.31E-04	-3.766	-0.25067	-2.5959	hsa-miR-3682-3p		
